"","name","race","gender","proffesion","affiliation","text"
"1",NA,NA,NA,NA,NA,"NULL"
"2","Abigail","Human","Female",NA,NA,"Abigail was a witch who lived in her house in the outskirts of Vizima. She was not well-liked by the villagers and got blamed for many bad or strange occurrences. Her main skill was alchemy, so though the villagers approached her with suspicion, they also relied on her for potions and poisons - which she provided, rarely bothering with questions or moral objections.In the course of Chapter I, Abigail took in the orphaned Alvin after Geralt saved him from the barghests as Shani could not care for him from an inn. She also facilitated a trance where the boy revealed more about the beast and its minions who were plaguing the village.Geralt can buy a blade coating formula from her that makes it easier to battle specters and ghosts. In fact, she buys and sells quite a few things:If her fate was left to the villagers, she cursed Geralt in the name of the Lionhead Spider, which she called the Black Legba. Whether this meant she was also responsible for the misdeeds of the other villagers is unclear."
"3","Adalbert","Human","Male","Soldier"," Order of the Flaming Rose Vizima City Guard","Adalbert was a crossbowman of the City Guard who fought in the ranks of the Order of the Flaming Rose.He participated in fierce battles to take control of the Trade Quarter, resulting in the Order winning a Pyrrhic victory. A seriously wounded Adalbert went with his remaining strength to the Cloister of the Flaming Rose in the Temple Quarter. Being in a state of agony, he informed Jacques de Aldersberg what happened, and then told the Master about the death of Roderick de Wett caused by Geralt. The Grand Master then thanked the soldier for his faithful service, just before Adalbert died from his wounds."
"4","Adam","Human","Male",NA,NA,"Adam was the local poet in Murky Waters, his skills in that area were suspect at best. He was also not so secretly in love with Alina, was considered a fool by Alina's father Tobias Hoffman, and the rest of the village did not seem to have too high an opinion of him either. His occupation, other than aspiring poet, was unknown.Although his true love was ripped from this life by her jealous sister, Adam still clung to the dream of being eternally with Alina. It was during the first lonely days in a rat infested cell that Adam finally found his muse, and penned a poem for Alina.The example above is his finest work, ever, really. In a few conversations, we really get to plumb the depths of his oeuvre. It is bad enough that, at one point, Geralt asks him to simply stop speaking. Here is the poem which prompts the outburst:It might go on, but the witcher just stops him there."
"5","Adda the White","Human (turned into striga as a result of a curse, disenchanted by Geralt of Rivia)","Female",NA,NA,"Dyed red (games)Adda the White was the daughter of Foltest, king of Temeria. She was born a striga as a result of a curse cast by either Ostrit (a local magnate who loved her mother) or Sancia (Foltest's mother). The magnate was in love with the king's sister, the mother of the princess, whose name was also Adda. When he learned of the incestuous relationship between the king and his sister, Ostrit tried to put a curse on the king and this is blamed for Adda's transformation into a striga. However, Foltest's mother was also furious at the incestuous relationship between her children and may also have cursed their child. So it is possible that either Ostrit or Sancia, or both, were the cause of the curse.Adda was named for her mother who died during the birth. Her nickname ""the White"", which came from the color of her hair after the curse was removed by Geralt, served to distinguish her from her mother, Adda of Temeria, and Adda of Cidaris, the wife of king Goidemar. She was also left mentally impaired, so while she remained the logical heir to the Temerian throne, the continuation of the royal line begun by Geddes was possibly at its end.While Adda's human form was fully restored, her mind was left terribly degraded by trauma, and she is still in danger of relapse. To ward off the curse, Geralt instructed the princess to wear an amulet necklace and told her keeper to have her participate in rituals designed to ward off the curse.[1]Unfortunately, even though Adda's curse was lifted, she remained intellectually impaired. It was also then that her hair became white, which earned her the name ""Adda the White"".In the non-canon short story Cos sie konczy, cos sie zaczyna, Adda seems to have recovered sufficiently from her curse to have become the queen of Temeria.In the Temerian Dynasty, additional material written by Andrzej Sapkowski and published on his official website, Adda was described as white-haired and intellectually impaired. However, in the game and in the English translation of the short story The Witcher, her hair is red and there is no explanation for the change in her mental state.The princess had grown into a pretty, if some what wild and spoiled girl whom Geralt met at Leuvaarden's reception, where she was accompanied by the ever attentive Roderick de Wett. If Geralt refused to have sex with her she then reveals a small tidbit about her intentions regarding her father's crown.According to the Professor's notes, Adda collaborated with Salamandra. She was behind the counterfeiting of the royal seal[2] and forged the proclamations of the state of emergency, and therefore was responsible for the chaos in the Trade Quarter. She was promised the throne of Temeria, though in reality Salamandra believed her to be unpredictable and would not likely have honored that bargain. The organization planned to break the alliance.When Ostrit put a curse on Adda, he described the process in his diary. Whoever possessed the diary may renew the curse and transform Adda back into a striga. But Adda is not only dangerous as a striga, she is equally dangerous with the power she wields as a princess. It is only thanks to Triss' intervention that Geralt managed to escape Adda's (manicured) claws by the skin of his teeth.Adda wants catoblepas meat, rare is best. To obtain the item, speak to Velerad, the burgomeister, but do not forget some strong alcohol to loosen his tongue. Then he will point you in the direction of Thaler, who wants a letter from a chest in the nearby alcove before revealing any more information. Finally, speak to Triss, as she can conjure the necessary gift for the princess.Adda is a mentioned-only, secondary character in the second game.The book The Temerian Royal Dynasty provides in-game information about Adda. If you have imported a saved game before starting, then the journal entry added by that book is based on the choices made in that game (otherwise Adda is dead by default).One of Chorab's tales is about Geralt lifting the curse from Adda for the first time.If Adda was killed in the original gameIf Adda was spared in the original gameIf Adda was spared in the first game:If Geralt saved Adda in the first game, then she is still Queen of Redania, though the developers decided not to introduce her in The Witcher 3 and explore her plotline further.[3] She is mentioned only in an old letter, found in the courtyard of the Royal Palace in Vizima, where some Alyssandra Deviel wrote to Roderick de Wett on how to revive the curse.Adda is a Northern Realms leader in the Homecoming version."
"6","Alina","Human",NA,NA,NA,"Alina was a young girl from Murky Waters and the daughter of the village chief, Tobias Hoffman. She was to be married to Julian, a rich merchant from Kovir, much to the disgust of her jealous sister Celina and the poet Adam, who was secretly in love with her.She can initially be found in her house in the village of Murky Waters. Later, once she becomes a noonwraith, she usually hangs out near the ruin mill in the Fields.She seemed strangely resigned to marrying Julian and appeared fond of him, at least in a way, but she also showed no intention whatsoever of ending her affair with Adam which she carried on every day at noon, in the raspberry patch in the fields. She did seem jealous of Celina's attempts to gain Julian's attention, even though this last endeavor was proving fruitless.She had also developed quite an attachment to Alvin. She would have dearly loved to have adopted him and raise him with Julian, but Julian was not so taken with the prospect of raising a child who was, from all reports, a source.The jealous rivalry with her sister reached a peak one day when Celina started to argue with her, near the Raspberry patch, and ended up pushing Alina down and causing Alina to hit her head on a rock, killing her instantly. Because she was murdered in this manner, Alina arised as a noonwraith, doomed to forever roam the fields."
"7","Alvin","Human","Male",NA,NA,"Alvin was a boy who managed to escape the barghest attack which cost his foster mother her life. As a result of the shock, he started to divine the future and uttered the Prophecy of Ithlinne. It is supposed that Alvin was a Source, having magical powers he couldn't control.Alvin lived with Abigail until the Reverend snatched him while collecting water for Abigail. The preacher gave the orphan to a group of Salamandra lackeys, who demanded that the dwellers of the Outskirts surrender their children.In Chapter III, Geralt finds Alvin a second time. This time the boy is being held at St. Lebioda's Hospital, until he is kidnapped by Salamandra once again. In Chapter IV, Geralt finds the boy a third time, in the village of Murky Waters.Many fans of the game believe that Alvin is actually the Grand Master of the Order, Jacques de Aldersberg. When the fight between the elves under Toruviel and the Order of the Flaming Rose erupts in full force in the village of Murky Waters, Alvin teleports himself away because he is frightened by an elven warrior. Alvin's ability to teleport himself through time and space stems from the fact that he is a source. It is widely theorized that he flees to the past, perhaps back to where he was raised, and ultimately incorporates what he had learned with Geralt, accepting his perceived fate and becoming the Grand Master.Clues that speak to this hypothesis include the dimeritium pendant Alvin wears. Alvin, the boy has one as does the Grand Master; only difference is that Aldersberg's amulet shows years of wear. But the previous hint, that he went back to time with everything, clothes, knowledge etc. explains it. Another hint lies in the mention that Alvin's favorite game is ""kill the elf"" where he always plays the Grand Master and wins. Also, when Jacques' group comes to the aid of the refugees in the Swamp Cemetery (Chapter V), Jacques tells Geralt that he was returning a favour by saving the witcher's life, possibly referring to Geralt rescuing Alvin from kidnappers in Chapters I and III, killing the Devourer who attacks Alvin in Chapter IV or slaughtering the barghests hunting Alvin at the beginning of Chapter I. In the same conversation, Jacques is suspiciously quick to accuse Geralt of preachiness; not a common trait of Geralt's, but one he must show when acting as a father-figure to Alvin. Jacques also mentions that he knows about Geralt from ""a source"", which could be wordplay hinting at his past. In addition some of Jacques conversation in Ice Plains reflects the choices you tell Alvin in the Murky Waters area (for example that ""a person's gift should be used for good of others"", to which the Grand Master repeats the same comment in first person and says he was told that many times by the Witcher), it would be impossible for the Grand Master to know that conversation unless he was Alvin (or somehow met Alvin after the events of Murky Waters). Furthermore, if you chose to send him with Triss, instead of saying he taught himself to use the power she will instead say ""he uses magic wildly, like someone who began magic lessons but never finished them."" which implies that your choices with Alvin affect Jacques.Some feel that a counter-argument to this hypothesis is that townspeople in Chapters II and III already speak of Jacques de Aldersberg despite the fact that Alvin is in the care of Geralt and either Triss or Shani at that time and place, suggesting that they are two different people. Others feel that the two co-existing does not violate any time-travelling principles. One possible inconsistency is that Alvin has blonde hair and Jacques de Aldersberg has brown hair. However, children born with blonde hair in real life often darken to a middle brown as they grow up, so this difference in hair color is not prohibitive.In the scene where Alvin tells Geralt that he wants to be a witcher, the player can answer ""Don't become a witcher, become a knight"" to which Alvin replies ""I will be a Witcher-Knight!"" suggesting a knight who hunts monsters, as the Order of the Flaming Rose does. Furthermore, during a dialogue with Siegfried, Geralt learns that even a witcher can become a member of the Order.In the Fields in Chapter IV, the player must choose a piece of advice to give to Alvin. Whichever advice you choose, it will be parroted back to Geralt by Jacques in the Epilogue, which is highly suggestive. The Quests section of the Journal even notes the correlation: ""The Grand Master's words seem familiar, though I'm not sure to what..."" For more information on this correlation, see below.After defeating Azar Javed, Geralt has the option to ask Triss about Jacques. She tells him that he never had any education of sorcery and learned to use the Power by himself. It is very unlikely that Alvin was adopted by someone with knowledge as Triss' after going back in time, so if he learned to use the Power, it can be assumed it was self-taught.At the end of the game, if the King of the Wild Hunt is allowed to take Jacques de Aldersberg's soul, he tells Geralt that he knew this soul under another name as well, possibly pointing to Alvin, although his name is not explicitly uttered. Also, all of the lessons given to Alvin by Geralt appear to have had a major influence on the Aldersberg's expressed views during the endgame speeches.Alvin appears in the Icy Wasteland in the Epilogue. Perhaps he is summoned by Geralt, perhaps by Jacques, he quickly disappears without a chance to begin a dialogue with him Meeting Dandelion after the final confrontation, Geralt brings this question up himself. The two conclude that they will never know for sure.The following is from the official game guide released by CDProjekt: ""The mist is no more and you appear back in the courtyard. Fights are ending and the political situation is stabilizing. Search the body of Jacques de Aldersberg, powerful and insane man, who he was a short while ago. Now he is no more, he doesn't exist - he is dead. Take the last part of the Witchers' secrets and the strange amulet, very similar to the one you gave to Alvin in Murky Waters. Where did Alvin go? What happened to the poor boy?""The game guide also describes what the Grand Master will say depending on what Geralt said to Alvin on the topics of destiny, other races and witchers. These fan speculations have neither been confirmed nor denied by the developers.As noted above, the player's choice of advice to give to Alvin in Chapter IV determines the content of a specific conversation with Jacques de Aldersberg in the Epilogue (the one following the confrontation with Abigail's shade), suggesting that Jacques is Alvin. Alvin asks Geralt what he should do about his visions of people dying; Jacques tells Geralt that his Grand Plan (created in response to his visions of people dying) was in keeping with Geralt's earlier advice to Alvin.Alvin asks, ""I want them to like me. I don't want them to die. What should I do?""If Geralt tells Alvin, ""Your visions are a gift, not a curse. It's up to you to use them for good,"" then the conversation in the Epilogue appears as follows:If Geralt tells Alvin, ""Destiny isn't everything. We are masters of our own fate,"" then the conversation in the Epilogue appears as follows:If Geralt tells Alvin, ""Keep your gift a secret. The lives of the gifted are rarely easy,"" then the conversation in the Epilogue appears as follows:During the conversation about Berengar, Alvin says, ""Witchers are brave. They never go ill.""If Geralt tells Alvin, ""Wouldn't you rather be a knight?"" then the conversation in the Epilogue appears as follows:If Geralt tells Alvin, ""We never get sick, but that costs us. And then there's pain... Would you like to hurt badly?"" then the conversation in the Epilogue appears as follows:If Geralt tells Alvin, ""It's not true that witchers are never afraid. Besides, none remain who can complete the mutation..."" then the conversation in the Epilogue appears as follows:Lastly, Alvin asks, ""Geralt, why are the elves doing this?""If Geralt tells Alvin, ""The elves refuse to concede that the world has changed. They cannot win but still they fight. It's their sad, desperate attempt at halting evolution."" then the conversation in the Epilogue appears as follows:If Geralt tells Alvin, ""They're fighting for their freedom, for an ideal. Humans have them up against a wall and they see no other way..."" then the conversation in the Epilogue appears as follows:If Geralt tells Alvin, ""They've lost their lofty, beautiful veneer. One can clearly see the deep hatred they hold for humans."" then the conversation in the Epilogue appears as follows:It is potentially 'telling' that a private conversation between Geralt and Alvin can influence Jacques' statements in this way. However, the argument that Jacques and Alvin share a core identity is made rather circular by the notion that the Ice Wastes are populated with manifestations of memories and thoughts, recalling the trope of 'conversations with oneself', wherein one does not know whether to trust a vision that may come entirely from one's subconscious. (Jacques has extraordinary raw power that could simply be used to craft convincing dialogue based on what he can detect of the effectively 'captive', at least while 'within' the Wastes, Geralt's memories and personal connections.)After a long time. The theory of Alvin being Grand Master Jacques de Aldersberg was confirmed in final part of Geralt's trilogy, The Witcher 3: Wild Hunt, in secondary quest Message from an Old Friend where bookseller Marcus Thaddeus Knut Hodgson tells the witcher about message that someone left him long time ago. This letter is named Letter from ""A"" and is placed inside the book titled My Manifesto - The Life of Jacques de Aldersberg."
"8","Angus","Human","Male",NA,NA,"Angus was a local drug dealer who was known to the City Guard, well, at least to Jethro. He was a shady character who can usually be found standing on the corner near The Hairy Bear, the kitty-corner from the Eager Thighs brothel, or in the slums of the Temple Quarter.Geralt must find Angus and get from him information about the Salamandra drug trade in Vizima. It is from him that Geralt gets the information to locate the Salamandra hideout where the manufacture of fisstech seems to be based. He can get this information either by paying the dealer for a letter of recommendation in order to enter the drug lab with minimal fuss or taking that same letter from him by force. Alternatively, our hero can simply enter the lab using force and dispense with the letter altogether."
"9","Antoinette","Human",NA,NA,NA,"Corbin (cousin)Ramerot (cousin)Jean-Pierre (fiancé)At the beginning of Chapter V. Her cousins, Buse, Corbin and Ramerot are in hiding in the refugee caves in the swamp cemetery after incurring the disfavour of the king and they are completely out of orens.When Geralt speaks to Antoinette, she mentions that she recognizes Geralt because in her home many years ago, she saw him dancing all night with a sorceress that he was very fond of.Geralt doubts this due to his inability to dance. Antoinette questions if all Witcher's have white hair; Geralt says he is the only one, and she says she must be confused because she remembers him dancing with a sorceress."
"10","Azar Javed","Human","Male","Alchemist Mage"," Salamandra","Azar Javed was a Zerrikanian sorcerer and alchemist who took part in Salamandra's attack on Kaer Morhen. Initially known only as the ""mysterious mage"", he and the Professor were the main instigators of the raid on the fortress and were uniquely responsible for the theft of the witchers' secrets.Azar was one of the highest ranking Salamandra, but not the ultimate leader. While he was certainly responsible for the mutants plaguing Vizima, he was only following a grander plan, conceived by someone else.Early in his life he studied at a magical school but was expelled due to unknown reasons.At some point he made an alliance with Jacques de Aldersberg and attacked Kaer Morhen alongside the Professor, Savolla and his frightener, and some other Salamandra thugs. The attack was a success and Javed managed to steal the witchers' secrets.Later in Vizima, he noticed that Geralt started working with detective Raymond Maarloeve which he already had history with, so he sent some assassins to scare Raymond and get him to hide for a while, sometime after that he killed the detective and disguised himself as him and contacted Geralt. He then gave the witcher the last Sephirot he needed to open the tower before they went to visit the tower.The two then start to fight but, being out in the swamps and being a fire mage, Azar called on the Professor for help, who proceeded to poison Geralt with manticore poison before the two then fled the battle.Azar and Geralt later confronted each other yet again when the witcher discovered one of Salamandra's hideouts, but Azar fled once more.Azar then took to hiding out at the main hide out at the Old Manor but the witcher soon tracked him down there and the two had one final confrontation, ultimately leading to Azar's death.Mysterious MageAzar Javed"
